Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107262-62239,QB,Josh,Josh Allen,Allen,20.469999313354492,2,9200,JAC@BUF,BUF,JAC,,,,,,QB
107262-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,7.349999904632568,2,8700,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-102785,QB,Jayden,Jayden Daniels,Daniels,20.799999237060547,2,7900,WAS@CIN,WAS,CIN,,,,,,QB
107262-91626,RB,James,James Cook,Cook,19.899999618530273,2,7600,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-63336,QB,Joe,Joe Burrow,Burrow,12.640000343322754,2,7400,WAS@CIN,CIN,WAS,,,,,,QB
107262-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,12.100000381469727,2,7300,JAC@BUF,JAC,BUF,,,,,,RB/FLEX
107262-89951,QB,Trevor,Trevor Lawrence,Lawrence,12.289999961853027,2,7200,JAC@BUF,JAC,BUF,,,,,,QB
107262-145558,TE,Dalton,Dalton Kincaid,Kincaid,3.450000047683716,2,6800,JAC@BUF,BUF,JAC,,,,,,TE/FLEX
107262-89981,WR,Tee,Tee Higgins,Higgins,8.969230651855469,13,6700,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-70027,RB,Zack,Zack Moss,Moss,9.149999618530273,2,6300,WAS@CIN,CIN,WAS,,,,,,RB/FLEX
107262-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,16.75,2,6200,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-157467,WR,Keon,Keon Coleman,Coleman,3.549999952316284,2,6000,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@CIN,WAS,CIN,,,,,,QB
107262-30253,QB,Jeff,Jeff Driskel,Driskel,7.96999979019165,2,6000,WAS@CIN,WAS,CIN,,,,,,QB
107262-112191,QB,John Rhys,John Rhys Plumlee,Plumlee,,0,6000,JAC@BUF,JAC,BUF,,,,,,QB
107262-27986,QB,C.J.,C.J. Beathard,Beathard,3.576666514078776,6,6000,JAC@BUF,JAC,BUF,Q,Groin,,,,QB
107262-40534,QB,Mike,Mike White,White,0.43714284896850586,7,6000,JAC@BUF,BUF,JAC,,,,,,QB
107262-29605,QB,Matt,Matt Barkley,Barkley,-0.30000001192092896,1,6000,JAC@BUF,JAC,BUF,,,,,,QB
107262-60840,QB,Jake,Jake Browning,Browning,12.578333536783854,12,6000,WAS@CIN,CIN,WAS,,,,,,QB
107262-93103,QB,E.J.,E.J. Perry,Perry,,0,6000,JAC@BUF,JAC,BUF,,,,,,QB
107262-29358,QB,Marcus,Marcus Mariota,Mariota,4.253333409627278,3,6000,WAS@CIN,WAS,CIN,IR,Chest,,,,QB
107262-60858,WR,Christian,Christian Kirk,Kirk,1.9500000476837158,2,6000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-56250,WR,Terry,Terry McLaurin,McLaurin,3.950000047683716,2,6000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,JAC@BUF,BUF,JAC,IR,Neck,,,,QB
107262-45259,QB,Logan,Logan Woodside,Woodside,0.3400000035762787,2,6000,WAS@CIN,CIN,WAS,,,,,,QB
107262-90584,QB,Mac,Mac Jones,Jones,10.763636502352627,11,6000,JAC@BUF,JAC,BUF,,,,,,QB
107262-69597,QB,Anthony,Anthony Brown Jr.,Brown Jr.,,0,6000,JAC@BUF,BUF,JAC,,,,,,QB
107262-56286,QB,Trace,Trace McSorley,McSorley,,0,6000,WAS@CIN,WAS,CIN,,,,,,QB
107262-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,-0.20000000298023224,1,6000,JAC@BUF,BUF,JAC,,,,,,QB
107262-92904,QB,Rocky,Rocky Lombardi,Lombardi,,0,6000,WAS@CIN,CIN,WAS,,,,,,QB
107262-63469,QB,Ben,Ben DiNucci,DiNucci,,0,6000,JAC@BUF,BUF,JAC,,,,,,QB
107262-94534,WR,Gabe,Gabe Davis,Davis,6.75,2,5900,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-80001,RB,Austin,Austin Ekeler,Ekeler,9.100000381469727,2,5900,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-41872,TE,Evan,Evan Engram,Engram,1,1,5900,JAC@BUF,JAC,BUF,O,Hamstring,,,,TE/FLEX
107262-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,11.550000190734863,2,5800,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-128693,RB,Tank,Tank Bigsby,Bigsby,7.300000190734863,1,5500,JAC@BUF,JAC,BUF,Q,Shoulder,,,,RB/FLEX
107262-89493,RB,Chase,Chase Brown,Brown,3.450000047683716,2,5400,WAS@CIN,CIN,WAS,,,,,,RB/FLEX
107262-86518,WR,Khalil,Khalil Shakir,Shakir,9.899999618530273,2,5400,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-52613,WR,Curtis,Curtis Samuel,Samuel,1.649999976158142,2,5200,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-185593,WR,Andrei,Andrei Iosivas,Iosivas,8.899999618530273,2,5200,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-56265,TE,Mike,Mike Gesicki,Gesicki,7.949999809265137,2,5000,WAS@CIN,CIN,WAS,,,,,,TE/FLEX
107262-103694,RB,Ray,Ray Davis,Davis,3.25,2,4900,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,1.2000000476837158,2,4900,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-64585,TE,Dawson,Dawson Knox,Knox,2.799999952316284,1,4800,JAC@BUF,BUF,JAC,,,,,,TE/FLEX
107262-29780,TE,Zach,Zach Ertz,Ertz,6.25,2,4800,WAS@CIN,WAS,CIN,,,,,,TE/FLEX
107262-12526,D,Buffalo,Buffalo Bills,Bills,12,2,4600,JAC@BUF,BUF,JAC,,,,,,DEF
107262-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,2.450000047683716,2,4600,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-137516,WR,Parker,Parker Washington,Washington,0.4000000059604645,2,4500,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-137265,TE,Ben,Ben Sinnott,Sinnott,,0,4500,WAS@CIN,WAS,CIN,,,,,,TE/FLEX
107262-64905,WR,Trenton,Trenton Irwin,Irwin,1.0499999523162842,2,4500,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-70426,RB,Reggie,Reggie Gilliam,Gilliam,0.26666667064030963,3,4400,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-63050,RB,Ty,Ty Johnson,Johnson,2.200000047683716,2,4400,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-56248,WR,Noah,Noah Brown,Brown,7.099999904632568,1,4400,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,2.5999999046325684,1,4400,JAC@BUF,JAC,BUF,,,,,,RB/FLEX
107262-90123,TE,Quintin,Quintin Morris,Morris,3.2000001271565757,3,4300,JAC@BUF,BUF,JAC,,,,,,TE/FLEX
107262-133484,WR,Jermaine,Jermaine Burton,Burton,5.199999809265137,1,4300,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-103547,WR,Luke,Luke McCaffrey,McCaffrey,3.299999952316284,1,4300,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-73176,TE,Luke,Luke Farrell,Farrell,2.299999952316284,1,4300,JAC@BUF,JAC,BUF,,,,,,TE/FLEX
107262-69860,RB,Trayveon,Trayveon Williams,Williams,0,1,4300,WAS@CIN,CIN,WAS,,,,,,RB/FLEX
107262-70383,RB,Darrynton,Darrynton Evans,Evans,4.416666666666667,6,4300,JAC@BUF,BUF,JAC,IR,Hamstring,,,,RB/FLEX
107262-56648,RB,Jeremy,Jeremy McNichols,McNichols,,0,4200,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-71032,WR,Devin,Devin Duvernay,Duvernay,0.3499999940395355,2,4200,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-73111,WR,Chase,Chase Claypool,Claypool,2.2125000953674316,8,4200,JAC@BUF,BUF,JAC,Q,Toe,,,,WR/FLEX
107262-83117,TE,Tanner,Tanner Hudson,Hudson,0.800000011920929,1,4200,WAS@CIN,CIN,WAS,O,Knee,,,,TE/FLEX
107262-24755,WR,Jamison,Jamison Crowder,Crowder,1,1,4200,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-72705,TE,John,John Bates,Bates,0.5,2,4100,WAS@CIN,WAS,CIN,,,,,,TE/FLEX
107262-93538,WR,Dyami,Dyami Brown,Brown,2.700000047683716,1,4100,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-69752,WR,Jalen,Jalen Virgil,Virgil,,0,4100,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-56711,TE,Drew,Drew Sample,Sample,4.300000190734863,1,4100,WAS@CIN,CIN,WAS,,,,,,TE/FLEX
107262-103587,TE,Brenton,Brenton Strange,Strange,8,1,4100,JAC@BUF,JAC,BUF,,,,,,TE/FLEX
107262-86192,WR,KJ,KJ Hamler,Hamler,,0,4100,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-25267,WR,Mack,Mack Hollins,Hollins,4.75,2,4100,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-87233,WR,Bryan,Bryan Thompson,Thompson,,0,4100,JAC@BUF,BUF,JAC,Q,Hamstring,,,,WR/FLEX
107262-90583,WR,Tyrell,Tyrell Shavers,Shavers,,0,4100,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-72453,WR,Denzel,Denzel Mims,Mims,,0,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-166926,WR,Joseph,Joseph Scates,Scates,,0,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-86800,TE,Colson,Colson Yankoff,Yankoff,,0,4000,WAS@CIN,WAS,CIN,,,,,,TE/FLEX
107262-91923,WR,Kazmeir,Kazmeir Allen,Allen,,0,4000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-139284,RB,Frank,Frank Gore Jr.,Gore Jr.,,0,4000,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-89627,WR,Brycen,Brycen Tremayne,Tremayne,,0,4000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-34331,RB,Latavius,Latavius Murray,Murray,4.758823619169347,17,4000,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-110380,RB,Keilan,Keilan Robinson,Robinson,,0,4000,JAC@BUF,JAC,BUF,IR,Toe,,,,RB/FLEX
107262-130350,WR,Jaylon,Jaylon Moore,Moore,,0,4000,JAC@BUF,JAC,BUF,Q,Undisclosed,,,,WR/FLEX
107262-64575,RB,Derrick,Derrick Gore,Gore,1.2999999523162842,2,4000,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-201283,WR,David,David White Jr.,White Jr.,,0,4000,JAC@BUF,JAC,BUF,IR,Knee - acl,,,,WR/FLEX
107262-64576,RB,Damien,Damien Harris,Harris,3,6,4000,JAC@BUF,BUF,JAC,,,,,,RB/FLEX
107262-201282,WR,Wayne,Wayne Ruby,Ruby,,0,4000,JAC@BUF,JAC,BUF,Q,Undisclosed,,,,WR/FLEX
107262-201281,RB,Jalen,Jalen Jackson,Jackson,,0,4000,JAC@BUF,JAC,BUF,,,,,,RB/FLEX
107262-102980,RB,Austin,Austin Jones,Jones,,0,4000,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-201284,WR,Brevin,Brevin Easton,Easton,,0,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-112715,WR,Joshua,Joshua Cephus,Cephus,,0,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,3.6900001525878907,10,4000,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-201561,WR,Cole,Cole Burgess,Burgess,,0,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-89437,WR,Tim,Tim Jones,Jones,1.5333333545260959,9,4000,JAC@BUF,JAC,BUF,Q,Foot,,,,WR/FLEX
107262-201564,TE,Cam,Cam Grandy,Grandy,,0,4000,WAS@CIN,CIN,WAS,,,,,,TE/FLEX
107262-24675,WR,Martavis,Martavis Bryant,Bryant,,0,4000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-192358,TE,Shawn,Shawn Bowman,Bowman,,0,4000,JAC@BUF,JAC,BUF,,,,,,TE/FLEX
107262-87657,WR,Seth,Seth Williams,Williams,,0,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-79979,WR,Jamal,Jamal Agnew,Agnew,3.027272657914595,11,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-88685,WR,Austin,Austin Trammell,Trammell,0.20714286395481654,14,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-68975,TE,Josh,Josh Pederson,Pederson,,0,4000,JAC@BUF,JAC,BUF,Q,Ankle,,,,TE/FLEX
107262-79982,RB,Alex,Alex Armah,Armah,0.699999988079071,4,4000,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-87668,WR,Shedrick,Shedrick Jackson,Jackson,0,2,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-119672,RB,Kendall,Kendall Milton,Milton,,0,4000,WAS@CIN,CIN,WAS,,,,,,RB/FLEX
107262-185728,TE,Patrick,Patrick Murtagh,Murtagh,,0,4000,JAC@BUF,JAC,BUF,IR,Ankle,,,,TE/FLEX
107262-199819,RB,Louis,Louis Rees-Zammit,Rees-Zammit,,0,4000,JAC@BUF,JAC,BUF,,,,,,RB/FLEX
107262-94345,TE,Cole,Cole Turner,Turner,2.1875,8,4000,WAS@CIN,WAS,CIN,,,,,,TE/FLEX
107262-128912,WR,Mitchell,Mitchell Tinsley,Tinsley,0,1,4000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-92056,TE,Cal,Cal Adomitis,Adomitis,0,2,4000,WAS@CIN,CIN,WAS,,,,,,TE/FLEX
107262-94363,WR,Elijah,Elijah Cooks,Cooks,1.7666667302449544,3,4000,JAC@BUF,JAC,BUF,,,,,,WR/FLEX
107262-103584,RB,Noah,Noah Cain,Cain,,0,4000,WAS@CIN,CIN,WAS,,,,,,RB/FLEX
107262-73130,RB,Chris,Chris Evans,Evans,0.4000000059604645,4,4000,WAS@CIN,CIN,WAS,IR,Leg,,,,RB/FLEX
107262-69295,WR,Byron,Byron Pringle,Pringle,1.6230769524207482,13,4000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-64175,WR,Hakeem,Hakeem Butler,Butler,,0,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-88752,WR,Charlie,Charlie Jones,Jones,-0.5,2,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-61112,TE,Josiah,Josiah Deguara,Deguara,1.75,6,4000,JAC@BUF,JAC,BUF,,,,,,TE/FLEX
107262-63419,WR,Andy,Andy Isabella,Isabella,0,2,4000,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-89283,TE,Tre',Tre' McKitty,McKitty,0,1,4000,JAC@BUF,BUF,JAC,,,,,,TE/FLEX
107262-160463,TE,Tanner,Tanner McLachlan,McLachlan,,0,4000,WAS@CIN,CIN,WAS,,,,,,TE/FLEX
107262-149708,TE,Zach,Zach Davidson,Davidson,,0,4000,JAC@BUF,BUF,JAC,,,,,,TE/FLEX
107262-112850,RB,Michael,Michael Wiley,Wiley,,0,4000,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-103378,TE,Erick,Erick All Jr.,All Jr.,5.199999809265137,1,4000,WAS@CIN,CIN,WAS,,,,,,TE/FLEX
107262-30678,WR,Damiere,Damiere Byrd,Byrd,0,1,4000,JAC@BUF,BUF,JAC,,,,,,WR/FLEX
107262-92891,RB,Elijah,Elijah Collins,Collins,,0,4000,WAS@CIN,CIN,WAS,,,,,,RB/FLEX
107262-54746,TE,Tyler,Tyler Ott,Ott,0,2,4000,WAS@CIN,WAS,CIN,,,,,,TE/FLEX
107262-91098,WR,Lawrence,Lawrence Keys III,Keys III,,0,4000,JAC@BUF,BUF,JAC,Q,Leg,,,,WR/FLEX
107262-103901,WR,Davion,Davion Davis,Davis,,0,4000,WAS@CIN,WAS,CIN,,,,,,WR/FLEX
107262-103900,TE,Brandon,Brandon Dillon,Dillon,,0,4000,WAS@CIN,WAS,CIN,Q,Undisclosed,,,,TE/FLEX
107262-103390,WR,Tre,Tre Mosley,Mosley,,0,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-14820,RB,Nick,Nick Bellore,Bellore,0,2,4000,WAS@CIN,WAS,CIN,,,,,,RB/FLEX
107262-72427,WR,Kwamie,Kwamie Lassiter II,Lassiter II,0.699999988079071,1,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-71935,WR,Kendric,Kendric Pryor,Pryor,,0,4000,WAS@CIN,CIN,WAS,,,,,,WR/FLEX
107262-12552,D,Washington,Washington Commanders,Commanders,0.5,2,3800,WAS@CIN,WAS,CIN,,,,,,DEF
107262-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,3.5,2,3800,JAC@BUF,JAC,BUF,,,,,,DEF
107262-12528,D,Cincinnati,Cincinnati Bengals,Bengals,5.5,2,3100,WAS@CIN,CIN,WAS,,,,,,DEF
