Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295-25079,WR,Stefon,Stefon Diggs,Diggs,13.173333485921225,3,7100,JAC@HOU,HOU,JAC,,,,,,WR/FLEX
107295-152113,QB,Caleb,Caleb Williams,Williams,12.966667175292969,3,7100,LAR@CHI,CHI,LAR,,,,,,QB
107295-72731,RB,Josh,Josh Jacobs,Jacobs,10.933333079020182,3,7100,MIN@GB,GB,MIN,,,,,,RB/FLEX
107295-22038,QB,Kirk,Kirk Cousins,Cousins,12.613333384195963,3,7100,NO@ATL,ATL,NO,,,,,,QB
107295-45889,WR,Davante,Davante Adams,Adams,12.966667175292969,3,7000,CLE@LV,LV,CLE,Q,Hamstring,,,,WR/FLEX
107295-39793,TE,George,George Kittle,Kittle,11.550000190734863,2,7000,NE@SF,SF,NE,Q,Hamstring,,,,TE/FLEX
107295-69189,QB,Justin,Justin Herbert,Herbert,10.453333536783854,3,7000,KC@LAC,LAC,KC,Q,Ankle,,,,QB
107295-87787,RB,J.K.,J.K. Dobbins,Dobbins,17.96666717529297,3,7000,KC@LAC,LAC,KC,,,,,,RB/FLEX
107295-14225,QB,Andy,Andy Dalton,Dalton,13.779999732971191,2,7000,CIN@CAR,CAR,CIN,,,,,,QB
107295-70027,RB,Zack,Zack Moss,Moss,12.166666666666666,3,6900,CIN@CAR,CIN,CAR,,,,,,RB/FLEX
107295-54879,QB,Deshaun,Deshaun Watson,Watson,14.846666971842447,3,6900,CLE@LV,CLE,LV,,,,,,QB
107295-87770,WR,Chris,Chris Olave,Olave,10.166666666666666,3,6900,NO@ATL,NO,ATL,,,,,,WR/FLEX
107295-89951,QB,Trevor,Trevor Lawrence,Lawrence,11.666666666666666,3,6900,JAC@HOU,JAC,HOU,,,,,,QB
107295-61593,WR,Jauan,Jauan Jennings,Jennings,19.1999994913737,3,6800,NE@SF,SF,NE,,,,,,WR/FLEX
107295-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,13.133333841959635,3,6800,NE@SF,NE,SF,,,,,,RB/FLEX
107295-91591,QB,Justin,Justin Fields,Fields,14.240000406901041,3,6800,PIT@IND,PIT,IND,,,,,,QB
107295-22015,QB,Russell,Russell Wilson,Wilson,17.65999959309896,15,6800,PIT@IND,PIT,IND,Q,Calf,,,,QB
107295-91750,TE,Trey,Trey McBride,McBride,8.40000025431315,3,6800,WAS@ARI,ARI,WAS,Q,Concussion,,,,TE/FLEX
107295-6654,QB,Matthew,Matthew Stafford,Stafford,12.71999994913737,3,6700,LAR@CHI,LAR,CHI,,,,,,QB
107295-112295,WR,Zay,Zay Flowers,Flowers,10.166666666666666,3,6700,BUF@BAL,BAL,BUF,,,,,,WR/FLEX
107295-112745,WR,Drake,Drake London,London,10.866666158040365,3,6600,NO@ATL,ATL,NO,,,,,,WR/FLEX
107295-90575,RB,Najee,Najee Harris,Harris,9.133333206176758,3,6600,PIT@IND,PIT,IND,,,,,,RB/FLEX
107295-102965,QB,Bo,Bo Nix,Nix,14.233333587646484,3,6600,DEN@NYJ,DEN,NYJ,,,,,,QB
107295-151794,TE,Brock,Brock Bowers,Bowers,9.566666920979818,3,6500,CLE@LV,LV,CLE,,,,,,TE/FLEX
107295-61798,QB,Gardner,Gardner Minshew II,Minshew II,13.56000010172526,3,6500,CLE@LV,LV,CLE,,,,,,QB
107295-56250,WR,Terry,Terry McLaurin,McLaurin,9.633333206176758,3,6500,WAS@ARI,WAS,ARI,,,,,,WR/FLEX
107295-87467,RB,Chuba,Chuba Hubbard,Hubbard,13.133333841959635,3,6500,CIN@CAR,CAR,CIN,,,,,,RB/FLEX
107295-63043,WR,DJ,DJ Moore,Moore,9,3,6500,LAR@CHI,CHI,LAR,,,,,,WR/FLEX
107295-31001,WR,Amari,Amari Cooper,Cooper,9.766666412353516,3,6400,CLE@LV,CLE,LV,,,,,,WR/FLEX
107295-90533,RB,Jerome,Jerome Ford,Ford,10.433333079020182,3,6400,CLE@LV,CLE,LV,Q,Knee,,,,RB/FLEX
107295-120033,WR,Rome,Rome Odunze,Odunze,9.766666412353516,3,6400,LAR@CHI,CHI,LAR,Q,Hip,,,,WR/FLEX
107295-30231,QB,Jacoby,Jacoby Brissett,Brissett,7.506666819254558,3,6400,NE@SF,NE,SF,,,,,,QB
107295-80001,RB,Austin,Austin Ekeler,Ekeler,10.299999872843424,3,6300,WAS@ARI,WAS,ARI,O,Concussion,,,,RB/FLEX
107295-90428,RB,Tyler,Tyler Allgeier,Allgeier,4.100000063578288,3,6300,NO@ATL,ATL,NO,,,,,,RB/FLEX
107295-92859,WR,Jalen,Jalen Nailor,Nailor,10.800000508626303,3,6300,MIN@GB,MIN,GB,,,,,,WR/FLEX
107295-89455,WR,Jayden,Jayden Reed,Reed,16.1999994913737,3,6300,MIN@GB,GB,MIN,Q,Calf,,,,WR/FLEX
107295-53331,QB,Taylor,Taylor Heinicke,Heinicke,0.9599999785423279,1,6200,KC@LAC,LAC,KC,,,,,,QB
107295-66008,WR,Diontae,Diontae Johnson,Johnson,10.366666793823242,3,6200,CIN@CAR,CAR,CIN,Q,Groin,,,,WR/FLEX
107295-29253,WR,Keenan,Keenan Allen,Allen,4.900000095367432,1,6200,LAR@CHI,CHI,LAR,Q,Heel,,,,WR/FLEX
107295-41562,QB,Nick,Nick Mullens,Mullens,0,1,6200,MIN@GB,MIN,GB,,,,,,QB
107295-137902,RB,Rachaad,Rachaad White,White,7.466666539510091,3,6200,PHI@TB,TB,PHI,,,,,,RB/FLEX
107295-158412,RB,Braelon,Braelon Allen,Allen,9.700000127156576,3,6200,DEN@NYJ,NYJ,DEN,,,,,,RB/FLEX
107295-158974,WR,Xavier,Xavier Worthy,Worthy,9,3,6200,KC@LAC,KC,LAC,,,,,,WR/FLEX
107295-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.166666666666667,3,6100,BUF@BAL,BUF,BAL,,,,,,TE/FLEX
107295-170287,WR,Rashid,Rashid Shaheed,Shaheed,11.233333587646484,3,6100,NO@ATL,NO,ATL,,,,,,WR/FLEX
107295-89230,RB,Cam,Cam Akers,Akers,5.699999809265137,2,6100,JAC@HOU,HOU,JAC,,,,,,RB/FLEX
107295-110246,WR,George,George Pickens,Pickens,7.533333460489909,3,6100,PIT@IND,PIT,IND,,,,,,WR/FLEX
107295-30761,QB,Nathan,Nathan Peterman,Peterman,-0.10000000149011612,4,6000,NO@ATL,ATL,NO,,,,,,QB
107295-14377,QB,Tyrod,Tyrod Taylor,Taylor,6.139999866485596,1,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-86081,QB,Emory,Emory Jones,Jones,,0,6000,BUF@BAL,BAL,BUF,,,,,,QB
107295-90268,QB,Colby,Colby Suits,Suits,,0,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-86200,QB,Sean,Sean Clifford,Clifford,0.3199999928474426,4,6000,MIN@GB,GB,MIN,,,,,,QB
107295-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,BUF@BAL,BUF,BAL,IR,Neck,,,,QB
107295-45259,QB,Logan,Logan Woodside,Woodside,0.3400000035762787,2,6000,CIN@CAR,CIN,CAR,,,,,,QB
107295-86265,QB,Ben,Ben Bryant,Bryant,,0,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-94469,QB,Andrew,Andrew Peasley,Peasley,,0,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-86278,QB,Desmond,Desmond Ridder,Ridder,11.789999961853027,16,6000,WAS@ARI,ARI,WAS,,,,,,QB
107295-24849,QB,Jameis,Jameis Winston,Winston,0.25,2,6000,CLE@LV,CLE,LV,,,,,,QB
107295-90406,QB,Zach,Zach Wilson,Wilson,10.578333536783854,12,6000,DEN@NYJ,DEN,NYJ,,,,,,QB
107295-84287,QB,Luis,Luis Perez,Perez,,0,6000,KC@LAC,LAC,KC,,,,,,QB
107295-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,2,6000,PIT@IND,IND,PIT,,,,,,QB
107295-31170,QB,Brandon,Brandon Allen,Allen,-0.10000000149011612,1,6000,NE@SF,SF,NE,,,,,,QB
107295-22994,QB,Case,Case Keenum,Keenum,3.184999942779541,4,6000,JAC@HOU,HOU,JAC,IR,Foot,,,,QB
107295-90584,QB,Mac,Mac Jones,Jones,-1.1200000047683716,1,6000,JAC@HOU,JAC,HOU,,,,,,QB
107295-129506,QB,Michael,Michael Pratt,Pratt,,0,6000,PHI@TB,TB,PHI,,,,,,QB
107295-86518,WR,Khalil,Khalil Shakir,Shakir,12,3,6000,BUF@BAL,BUF,BAL,,,,,,WR/FLEX
107295-94718,QB,Nathan,Nathan Rourke,Rourke,,0,6000,NO@ATL,ATL,NO,,,,,,QB
107295-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,JAC@HOU,HOU,JAC,,,,,,QB
107295-201267,QB,Casey,Casey Bauman,Bauman,,0,6000,KC@LAC,LAC,KC,,,,,,QB
107295-88630,QB,Matt,Matt Corral,Corral,,0,6000,MIN@GB,MIN,GB,,,,,,QB
107295-6714,QB,Joe,Joe Flacco,Flacco,20.736666361490887,6,6000,PIT@IND,IND,PIT,,,,,,QB
107295-86641,QB,Tanner,Tanner Mordecai,Mordecai,,0,6000,NE@SF,SF,NE,,,,,,QB
107295-201337,QB,Peewee,Peewee Jarrett,Jarrett,,0,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-29358,QB,Marcus,Marcus Mariota,Mariota,4.253333409627278,3,6000,WAS@ARI,WAS,ARI,IR,Chest,,,,QB
107295-70324,QB,Carson,Carson Wentz,Wentz,27.1200008392334,1,6000,KC@LAC,KC,LAC,,,,,,QB
107295-90813,QB,Clayton,Clayton Tune,Tune,-2.5999999046325684,1,6000,WAS@ARI,ARI,WAS,,,,,,QB
107295-103109,QB,Max,Max Duggan,Duggan,0,1,6000,KC@LAC,LAC,KC,,,,,,QB
107295-139985,QB,Bailey,Bailey Zappe,Zappe,7.10727275501598,11,6000,KC@LAC,KC,LAC,,,,,,QB
107295-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,,0,6000,NO@ATL,ATL,NO,,,,,,QB
